Title,Author Last Name,Author First Nem,Main Genre,Sub-Genre,Read (Y/N),Date Started,Date Completed,Number of Times Read,Cover Value,Price Paid,Year Purchased,Year Read,Purchase Location,Store Name
The Ladder of Divine Ascent,Climacus,John,Religion,Orthodoxy,N,,,,$37.00 ,$37.00 ,2018,,Saint Louis,Archangel's Bookstore
The Blind Watchmaker,Dawkins,Richard,Science,Biology,N,,,,$18.95 ,$18.95 ,2016,,Atlanta,
The Greatest Show on Earth,Dawkins,Richard,Science,Science - Biology,N,,,,$17.99 ,$17.99 ,2016,,Atlanta,
ON Guard,Craig,William Lane,Religion,Apologetics - Protestant,N,,,,$16.99 ,$16.99 ,2014,,Atlanta,
Boitempo - Esquecer Para Lembrar,De Andrade,Carlos Rumond,Poetry,Brazilian,N,,,,,,,,,
Don Quijote De La Mancha,de Cervantes,Miguel ,Fiction,Spanish,N,,,,$15.00 ,$15.00 ,,,,
Don Quijote De La Mancha,de Cervantes,Miguel ,Fiction,Spanish,N,,,,$15.00 ,$15.00 ,2011,,Atlanta,
The False Decretals,Davenport,D.H.,Religion,Catholicism,N,,,,,,,,,
The Essays: A Selection,De Montaigne,Michel,Philosophy,French,N,,,,$17.00 ,$10.00 ,2017,,San Francisco,Green Apple Books
Essais,De Montaigne,Michel,Philosophy,French,N,,,,,,,,,
Ensaios,De Montaingne,Michel,Philosophy,French,N,,,,,,,,,
The God Delusion,Dawkins,Richard,Religion,Atheism,Y,,,1,$15.95 ,$15.95 ,2014,,Atlanta,
Black,Dekker,Ted,Fiction,Christian,Y,5-Jan,5-Jan,1,$19.99 ,$0.00 ,2005,,Canton,
Red,Dekker,Ted,Fiction,Christian,N,,,,$14.99 ,$0.00 ,,,,
White,Dekker,Ted,Fiction,Christian,N,,,,$14.99 ,$0.00 ,,,,
Red,Dekker ,Ted,Fiction,Christian American,N,,,,$15.99 ,$15.99 ,2010,,Canton,
Abandonement to Divine Providence,De Cussade,Jean-Pierre,Religion,Catholicism,N,,,,,,,,,
Consciousness Explained,Dennett,Daniel,Philosophy,Philosophy ,N,,,,$18.00 ,$18.00 ,2012,,Kennesaw,
Meditations on First Philosophy,Descartes,Rene,Philosophy,French,Y,,,1,$5.95 ,$5.95 ,2010,,Canton,
Abundance ,Diamandis,Peter,Business,Entrepreneurship,Y,15-Jan,15-Jan,1,$16.00 ,$11.51 ,2015,,Amazon,
Bold,Diamandis,Peter,Business,Entrepreneurship,Y,15-Jan,15-Jan,1,$28.00 ,$16.24 ,2015,,Amazon,
"Guns, Germs, and Steel",Diamond,Jared,History,History,N,,,,$29.95 ,$29.95 ,2008,,Atlanta,
The Tale of Desperaux,DiCamillo,Kate,Fiction,American,Y,,,,$12.95 ,$12.95 ,,,,
David Copperfield,Dickens,Charles ,Fiction,British,N,,,,$15.00 ,$15.00 ,2017,,Spokane,
The Way of the Seal,Divine,Mark,Self-Help,Self-Help,N,14-Jan,,,$21.99 ,$21.99 ,2014,,Amazon,
The Brain that Changes itself,Doidge,Norman,Science,Medicine,Y,,,,,,,,,
Notes From a Dead House,Dostoevsky,Fyodor,Fiction,Russian,N,,,,,,,,,
Crime & Punishment (Hardcover),Dostoevsky,Fyodor,Fiction,Russian,N,,,,,,,,,
Crime & Punishment,Dostoevsky,Fyodor,Fiction, Russian,Y,1-Jan,Jul-18,1,$17.95 ,$17.95 ,2015,2018,Atlanta,Barnes & Noble
The Brothers Karamazov,Dostoevsky,Fyodor,Fiction,Russian,N,,,,,,,,,
Notes from The Underground,Dostoevsky,Fyodor,Fiction, Russian,N,17-Jan,,,$12.95 ,$12.95 ,2017,,Atlanta,
Managing Oneself,Drucker,ePeter,Business,Management,Y,17-Feb,17-Feb,1,$8.95 ,$8.95 ,2017,,Atlanta,
Grit,Duckworth,Angela,Business,Personality,Y,16-Jan,16-Aug,1,$28.00 ,$28.00 ,2016,,Atlanta,
The Power of Habit,Duhigg,Charles ,Business,Self-Help,N,,,,$16.00 ,$16.00 ,2015,,Atlanta,
Smarter Faster Better,Duhigg,Charles ,Business,Personality,Y,16-Jan,16-Jan,1,$28.00 ,$28.00 ,2016,,Atlanta,
Introduction to the Devout Life,De Sales,St. Francis,Religion,Catholicism,N,,,,,,,,,
The Three Musketeers,Dumas,Alexandre,Fiction,French,Y,,,,,,,,,
The Count of Monte Cristo,Dumas,Alexandre,Fiction,French,N,,,,$30.00 ,$30.00 ,2017,,Atlanta,
How to Travel With a Salmon & Other Essays,Eco,Umberto,Essays,Italian,N,,,,$18.95 ,$12.00 ,2017,,San Francisco,
Kant and the Platypus,Eco,Umberto,Philosophy,Italian,N,,,,$28.00 ,$12.00 ,2017,,San Francisco,Green Apple Books
O Pendulo de Foucault,Eco,Umberto,Fiction,Italian,N,,,,$20.00 ,$20.00 ,2017,,Natal,
Foucault's Pendulum,Eco,Umberto,Fiction,Italian,N,,,,$15.95 ,$15.95 ,2016,,Atlanta,
The Name of the Rose,Eco,Umberto,Fiction,Italian,Y,16-Jan,16-Jan,1,$15.95 ,$15.95 ,2016,,Miami,
The Mysterious Flame of Queen Loana,Eco,Umberto,Fiction,Italian,N,,,,$10.00 ,$10.00 ,2017,,Spokane,
La Misteriosa Llama de la Reina Loana ,Eco,Umberto,Fiction,Italian,N,,,,$13.95 ,$7.00 ,2017,,Amazon,
Drawing on the Right Side of the Brain,Edwards,Betty,Art,Drawing,N,,,,$20.00 ,$16.00 ,2014,,Amazon,
Breaking the Spell,Dennett,Daniel,Religion,Atheism,N,,,,$19.00 ,$19.00 ,2014,,Atlanta,
Models of the Church,Dulles,Avery Cardinal,Religion,Catholicism,N,,,,,,,,,
Writings from the Great Awakening ,Edwards,Jonathan,Religion,Protestantism,N,,,,$40.00 ,$40.00 ,2013,,Atlanta,
Lost Scriptures,Ehrman,Bart,Religion,Christian,N,,,,$19.99 ,$19.99 ,2016,,Los Angeles,
Ideas and Opinions,Einstein,Albert,Science,Scientific Writing,N,,,,,,,,Kennesaw,2nd & Charles
"Dear Father, Dear Son",Elder,Larry,Memoir,American,Y,,Mar-18,1,$25.95 ,$18.16 ,2018,2018,Online,Amazon
"How Not to Be Wrong: The Power of Mathematical
Thinking",Ellenberg,Jordan,Science,Mathematics,N,,,,$18.00 ,$18.00 ,2016,,Atlanta,
The Invisible Man,Ellison,Ralph,Fiction,American,N,16-Jan,,,$15.95 ,$15.95 ,2016,,Atlanta,
Essays and Poems ,Emerson,Ralph Waldo,Philosophy,American,N,,,,,,,,,
